,,,,,,,,,,,
nSamples,,,,,,,deltaT 10 rots,,,,
1517,,,,,,,8.4,,,,
,,,,,,,,,,,
duration (s),,Time (s),Acceleration (m/s2),,,,T,,,,
30.340,,t ,x,y ,z,,0.84,,,,
,,4.353,2.589,-0.282,9.106,,,,,,
,,4.373,2.579,-0.292,9.130,,,,,,
,,4.394,2.699,-0.301,9.159,,,,,,
,,4.414,2.785,-0.239,9.116,,,,,,
,,4.434,2.708,-0.258,9.106,,,,,,
,,4.455,2.689,-0.258,9.159,,,,,,
,,4.475,2.708,-0.105,9.202,,,,,,
,,4.496,2.622,-0.053,9.159,,,,,,
,,4.516,2.632,-0.182,9.168,,,,,,
,,4.536,2.641,-0.306,9.235,,,,,,
,,4.557,2.503,-0.368,9.192,,,,,,
,,4.577,2.469,-0.426,9.168,,,,,,
,,4.597,2.503,-0.512,9.245,,,,,,
,,4.618,2.493,-0.608,9.226,,,,,,
,,4.638,2.445,-0.627,9.130,,,,,,
,,4.659,2.359,-0.627,9.168,,,,,,
,,4.679,2.402,-0.660,9.173,,,,,,
,,4.699,2.417,-0.684,9.106,,,,,,
,,4.720,2.359,-0.708,9.159,,,,,,
,,4.740,2.330,-0.665,9.159,,,,,,
,,4.760,2.340,-0.617,9.097,,,,,,
,,4.781,2.297,-0.684,9.130,,,,,,
,,4.801,2.110,-0.751,9.159,,,,,,
,,4.822,2.053,-0.751,9.168,,,,,,
,,4.842,2.129,-0.780,9.173,,,,,,
,,4.862,2.110,-0.794,9.159,,,,,,
,,4.883,2.177,-0.746,9.173,,,,,,
,,4.903,2.172,-0.665,9.202,,,,,,
,,4.923,2.024,-0.617,9.149,,,,,,
,,4.944,2.086,-0.565,9.140,,,,,,
,,4.964,2.163,-0.498,9.140,,,,,,
,,4.985,2.101,-0.479,9.054,,,,,,
,,5.005,2.077,-0.426,9.130,,,,,,
,,5.025,2.077,-0.345,9.226,,,,,,
,,5.046,2.034,-0.368,9.149,,,,,,
,,5.066,2.091,-0.421,9.073,,,,,,
,,5.086,2.163,-0.335,9.063,,,,,,
,,5.107,2.134,-0.273,9.173,,,,,,
,,5.127,2.177,-0.268,9.235,,,,,,
,,5.148,2.220,-0.153,9.216,,,,,,
,,5.168,2.187,-0.086,9.192,,,,,,
,,5.188,2.249,-0.105,9.116,,,,,,
,,5.209,2.340,-0.182,9.149,,,,,,
,,5.229,2.383,-0.273,9.269,,,,,,
,,5.249,2.402,-0.249,9.288,,,,,,
,,5.270,2.383,-0.273,9.235,,,,,,
,,5.290,2.383,-0.325,9.149,,,,,,
,,5.311,2.555,-0.258,9.073,,,,,,
,,5.331,2.708,-0.282,9.054,,,,,,
,,5.351,2.708,-0.306,9.073,,,,,,
,,5.372,2.728,-0.249,9.087,,,,,,
,,5.392,2.708,-0.187,9.130,,,,,,
,,5.412,2.665,-0.153,9.183,,,,,,
,,5.433,2.641,-0.187,9.149,,,,,,
,,5.453,2.565,-0.306,9.082,,,,,,
,,5.474,2.488,-0.445,9.116,,,,,,
,,5.494,2.436,-0.488,9.183,,,,,,
,,5.514,2.460,-0.555,9.106,,,,,,
,,5.535,2.522,-0.660,9.063,,,,,,
,,5.555,2.488,-0.665,9.207,,,,,,
,,5.575,2.436,-0.660,9.159,,,,,,
,,5.596,2.469,-0.665,9.063,,,,,,
,,5.616,2.493,-0.694,9.106,,,,,,
,,5.636,2.426,-0.761,9.116,,,,,,
,,5.657,2.369,-0.813,9.159,,,,,,
,,5.677,2.283,-0.684,9.183,,,,,,
,,5.698,2.177,-0.627,9.168,,,,,,
,,5.718,2.144,-0.718,9.192,,,,,,
,,5.738,2.086,-0.746,9.183,,,,,,
,,5.759,2.077,-0.780,9.130,,,,,,
,,5.779,2.091,-0.828,9.159,,,,,,
,,5.799,2.067,-0.746,9.207,,,,,,
,,5.820,2.086,-0.608,9.202,,,,,,
,,5.840,2.091,-0.555,9.235,,,,,,
,,5.861,2.086,-0.498,9.183,,,,,,
,,5.881,2.110,-0.498,9.116,,,,,,
,,5.901,2.077,-0.507,9.216,,,,,,
,,5.922,2.043,-0.359,9.235,,,,,,
,,5.942,2.067,-0.349,9.192,,,,,,
,,5.962,2.086,-0.402,9.202,,,,,,
,,5.983,2.053,-0.349,9.207,,,,,,
,,6.003,2.077,-0.421,9.202,,,,,,
,,6.024,2.187,-0.412,9.173,,,,,,
,,6.044,2.283,-0.292,9.202,,,,,,
,,6.064,2.263,-0.225,9.202,,,,,,
,,6.085,2.292,-0.163,9.173,,,,,,
,,6.105,2.350,-0.187,9.140,,,,,,
,,6.125,2.292,-0.225,9.140,,,,,,
,,6.146,2.340,-0.239,9.192,,,,,,
,,6.166,2.393,-0.225,9.140,,,,,,
,,6.186,2.359,-0.196,9.116,,,,,,
,,6.207,2.555,-0.239,9.202,,,,,,
,,6.227,2.656,-0.249,9.207,,,,,,
,,6.248,2.589,-0.196,9.168,,,,,,
,,6.268,2.656,-0.206,9.183,,,,,,
,,6.288,2.742,-0.206,9.183,,,,,,
,,6.309,2.675,-0.105,9.183,,,,,,
,,6.329,2.613,-0.153,9.168,,,,,,
,,6.349,2.641,-0.306,9.097,,,,,,
,,6.370,2.632,-0.349,9.073,,,,,,
,,6.390,2.522,-0.402,9.106,,,,,,
,,6.411,2.479,-0.507,9.149,,,,,,
,,6.431,2.450,-0.598,9.159,,,,,,
,,6.451,2.369,-0.660,9.130,,,,,,
,,6.472,2.383,-0.665,9.149,,,,,,
,,6.492,2.373,-0.641,9.202,,,,,,
,,6.512,2.369,-0.665,9.116,,,,,,
,,6.533,2.412,-0.684,9.097,,,,,,
,,6.553,2.350,-0.651,9.216,,,,,,
,,6.574,2.297,-0.675,9.192,,,,,,
,,6.594,2.254,-0.651,9.168,,,,,,
,,6.614,2.187,-0.641,9.207,,,,,,
,,6.635,2.153,-0.718,9.168,,,,,,
,,6.655,2.134,-0.727,9.140,,,,,,
,,6.675,2.172,-0.871,9.125,,,,,,
,,6.696,2.196,-0.943,9.087,,,,,,
,,6.716,2.129,-0.684,9.168,,,,,,
,,6.737,2.077,-0.608,9.168,,,,,,
,,6.757,2.067,-0.617,9.116,,,,,,
,,6.777,1.991,-0.426,9.216,,,,,,
,,6.798,1.938,-0.359,9.245,,,,,,
,,6.818,1.957,-0.435,9.173,,,,,,
,,6.838,1.957,-0.368,9.140,,,,,,
,,6.859,1.981,-0.316,9.202,,,,,,
,,6.879,2.043,-0.388,9.207,,,,,,
,,6.900,2.120,-0.435,9.106,,,,,,
,,6.920,2.153,-0.426,9.173,,,,,,
,,6.940,2.153,-0.368,9.226,,,,,,
,,6.961,2.211,-0.268,9.207,,,,,,
,,6.981,2.283,-0.172,9.226,,,,,,
,,7.001,2.393,-0.163,9.149,,,,,,
,,7.022,2.393,-0.163,9.168,,,,,,
,,7.042,2.326,-0.163,9.207,,,,,,
,,7.063,2.393,-0.206,9.173,,,,,,
,,7.083,2.450,-0.230,9.207,,,,,,
,,7.103,2.450,-0.268,9.173,,,,,,
,,7.124,2.522,-0.268,9.106,,,,,,
,,7.144,2.651,-0.258,9.202,,,,,,
,,7.164,2.708,-0.273,9.173,,,,,,
,,7.185,2.728,-0.225,9.082,,,,,,
,,7.205,2.689,-0.182,9.173,,,,,,
,,7.226,2.641,-0.110,9.073,,,,,,
,,7.246,2.684,-0.086,8.891,,,,,,
,,7.266,2.675,-0.230,9.073,,,,,,
,,7.287,2.536,-0.325,9.207,,,,,,
,,7.307,2.450,-0.421,9.140,,,,,,
,,7.327,2.479,-0.541,9.087,,,,,,
,,7.348,2.512,-0.589,9.130,,,,,,
,,7.368,2.479,-0.660,9.130,,,,,,
,,7.389,2.436,-0.703,9.159,,,,,,
,,7.409,2.412,-0.675,9.216,,,,,,
,,7.429,2.369,-0.703,9.192,,,,,,
,,7.450,2.316,-0.708,9.192,,,,,,
,,7.470,2.273,-0.660,9.183,,,,,,
,,7.490,2.239,-0.641,9.202,,,,,,
,,7.511,2.220,-0.651,9.226,,,,,,
,,7.531,2.187,-0.675,9.168,,,,,,
,,7.552,2.077,-0.718,9.192,,,,,,
,,7.572,2.077,-0.785,9.159,,,,,,
,,7.592,2.120,-0.785,9.116,,,,,,
,,7.613,2.120,-0.718,9.202,,,,,,
,,7.633,2.153,-0.703,9.183,,,,,,
,,7.653,2.134,-0.675,9.183,,,,,,
,,7.674,2.077,-0.574,9.259,,,,,,
,,7.694,2.077,-0.546,9.226,,,,,,
,,7.715,2.067,-0.574,9.159,,,,,,
,,7.735,2.024,-0.445,9.168,,,,,,
,,7.755,2.024,-0.273,9.226,,,,,,
,,7.776,2.086,-0.368,9.245,,,,,,
,,7.796,2.110,-0.512,9.125,,,,,,
,,7.816,2.172,-0.464,9.097,,,,,,
,,7.837,2.211,-0.349,9.226,,,,,,
,,7.857,2.283,-0.316,9.202,,,,,,
,,7.878,2.297,-0.215,9.192,,,,,,
,,7.898,2.273,-0.110,9.168,,,,,,
,,7.918,2.359,-0.148,9.130,,,,,,
,,7.939,2.417,-0.139,9.216,,,,,,
,,7.959,2.412,-0.206,9.130,,,,,,
,,7.979,2.436,-0.316,9.149,,,,,,
,,8.000,2.522,-0.273,9.235,,,,,,
,,8.020,2.608,-0.292,9.130,,,,,,
,,8.040,2.598,-0.282,9.106,,,,,,
,,8.061,2.656,-0.225,9.159,,,,,,
,,8.081,2.732,-0.258,9.130,,,,,,
,,8.102,2.651,-0.292,9.125,,,,,,
,,8.122,2.622,-0.206,9.149,,,,,,
,,8.142,2.689,-0.187,9.168,,,,,,
,,8.163,2.675,-0.273,9.173,,,,,,
,,8.183,2.675,-0.301,9.192,,,,,,
,,8.203,2.613,-0.378,9.202,,,,,,
,,8.224,2.479,-0.426,9.250,,,,,,
,,8.244,2.522,-0.469,9.312,,,,,,
,,8.265,2.579,-0.641,9.216,,,,,,
,,8.285,2.536,-0.694,9.087,,,,,,
,,8.305,2.570,-0.665,9.073,,,,,,
,,8.326,2.565,-0.703,9.149,,,,,,
,,8.346,2.383,-0.684,9.207,,,,,,
