Auto,Run #3
Time (s),Angular Velocity (rad/s)
23.075,0
23.1,0
23.125,0.116
23.15,0.233
23.175,0.233
23.2,0.116
23.225,0
23.25,0.116
23.275,0.233
23.3,0.233
23.325,0.116
23.35,0
23.375,0
23.4,0.116
23.425,0.233
23.45,0.233
23.475,0.116
23.5,0
23.525,0
23.55,0
23.575,0
23.6,0
23.625,0
23.65,0
23.675,0
23.7,-0.116
23.725,-0.233
23.75,-0.233
23.775,-0.116
23.8,0
23.825,0
23.85,0
23.875,0
23.9,-0.116
23.925,-0.233
23.95,-0.233
23.975,-0.116
24,0
24.025,0
24.05,0
24.075,0
24.1,0
24.125,0
24.15,0
24.175,0
24.2,0
24.225,0
24.25,0
24.275,0
24.3,0
24.325,0
24.35,0
24.375,0
24.4,0.116
24.425,0.233
24.45,0.233
24.475,0.116
24.5,0
24.525,0
24.55,0
24.575,0
24.6,0
24.625,0
24.65,0
24.675,0.116
24.7,0.233
24.725,0.233
24.75,0.116
24.775,0
24.8,-0.116
24.825,-0.233
24.85,-0.233
24.875,-0.116
24.9,0
24.925,0
24.95,0
24.975,0
25,0
25.025,0
25.05,0
25.075,0
25.1,-0.116
25.125,-0.233
25.15,-0.233
25.175,-0.116
25.2,0
25.225,0
25.25,0
25.275,0
25.3,0
25.325,0
25.35,0
25.375,0
25.4,0
25.425,0
25.45,0
25.475,0
25.5,0
25.525,0.116
25.55,0.233
25.575,0.233
25.6,0.116
25.625,0
