Auto,Run #15
Time (s),Angular Velocity (rad/s)
50.35,7.447
50.4,7.447
50.45,7.505
50.5,7.505
50.55,7.447
50.6,7.447
50.65,7.447
50.7,7.505
50.75,7.505
50.8,7.505
50.85,7.505
50.9,7.505
50.95,7.505
51,7.505
51.05,7.505
51.1,7.505
51.15,7.563
51.2,7.563
51.25,7.563
51.3,7.505
51.35,7.505
51.4,7.505
51.45,7.505
51.5,7.505
51.55,7.505
51.6,7.505
51.65,7.505
51.7,7.563
51.75,7.563
51.8,7.563
51.85,7.563
51.9,7.621
51.95,7.621
52,7.563
52.05,7.563
52.1,7.563
52.15,7.563
52.2,7.505
52.25,7.505
52.3,7.563
52.35,7.563
52.4,7.563
52.45,7.563
52.5,7.621
52.55,7.621
52.6,7.563
52.65,7.563
52.7,7.621
52.75,7.679
52.8,7.621
52.85,7.563
52.9,7.563
52.95,7.621
53,7.621
53.05,7.563
53.1,7.563
53.15,7.563
53.2,7.563
53.25,7.563
53.3,7.621
53.35,7.679
53.4,7.679
53.45,7.679
53.5,7.621
53.55,7.563
53.6,7.563
53.65,7.621
53.7,7.679
53.75,7.679
53.8,7.679
53.85,7.679
53.9,7.621
53.95,7.563
54,7.505
54.05,7.447
54.1,7.389
54.15,7.33
54.2,7.33
54.25,7.33
54.3,7.33
54.35,7.272
54.4,7.214
54.45,7.156
54.5,7.098
54.55,7.039
54.6,6.981
54.65,6.923
54.7,6.865
54.75,6.807
54.8,6.749
54.85,6.69
54.9,6.632
54.95,6.632
55,6.632
55.05,6.574
55.1,6.516
55.15,6.458
55.2,6.4
55.25,6.341
55.3,6.283
55.35,6.283
55.4,6.283
55.45,6.225
55.5,6.167
55.55,6.109
55.6,6.05
55.65,5.992
55.7,5.934
55.75,5.876
55.8,5.818
55.85,5.76
55.9,5.701
55.95,5.701
56,5.701
56.05,5.701
56.1,5.585
56.15,5.469
56.2,5.469
56.25,5.469
56.3,5.411
56.35,5.352
56.4,5.352
56.45,5.352
56.5,5.236
56.55,5.12
56.6,5.061
56.65,5.003
56.7,5.003
56.75,4.945
56.8,4.887
56.85,4.829
56.9,4.771
56.95,4.771
57,4.712
